epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,2650.56,0.64537,0.53377,1.12857,0.83984,0.75552,0.77626,0.53642,1.41304,1.03563,2.1846,0.000255968,0.000255968,0.000255968
173,2665.18,0.63528,0.52084,1.11985,0.8819,0.74525,0.7856,0.55102,1.39052,1.08772,2.15108,0.000247716,0.000247716,0.000247716
174,2680.13,0.64741,0.51533,1.13071,0.86936,0.74474,0.77983,0.54131,1.39883,1.1716,2.18596,0.000239465,0.000239465,0.000239465
175,2694.86,0.65475,0.53385,1.13304,0.84792,0.76722,0.78002,0.54969,1.39767,1.13851,2.1673,0.000231213,0.000231213,0.000231213
176,2710.14,0.65744,0.53213,1.12776,0.87386,0.74507,0.79014,0.54501,1.43393,1.10052,2.19548,0.000222961,0.000222961,0.000222961
177,2724.65,0.62757,0.5185,1.10952,0.8376,0.74939,0.77604,0.54179,1.43267,1.13514,2.2066,0.00021471,0.00021471,0.00021471
178,2739.59,0.63312,0.51086,1.12352,0.84735,0.76498,0.77245,0.54524,1.42144,1.13241,2.22873,0.000206458,0.000206458,0.000206458
179,2754.43,0.61752,0.51834,1.12153,0.86579,0.7749,0.77783,0.5459,1.41913,1.13225,2.22424,0.000198206,0.000198206,0.000198206
180,2769.57,0.62621,0.51234,1.11696,0.87566,0.76608,0.78372,0.54358,1.41968,1.10764,2.23309,0.000189955,0.000189955,0.000189955
181,2784.49,0.65254,0.53711,1.13735,0.85843,0.76944,0.78095,0.54456,1.39905,1.14166,2.23103,0.000181703,0.000181703,0.000181703
182,2799.38,0.61633,0.50666,1.1143,0.84607,0.75626,0.76866,0.53898,1.41054,1.11721,2.22064,0.000173451,0.000173451,0.000173451
183,2814.6,0.62758,0.513,1.11207,0.83094,0.76944,0.77497,0.54157,1.42419,1.13468,2.21012,0.0001652,0.0001652,0.0001652
184,2829.44,0.61858,0.50554,1.11094,0.83018,0.77391,0.76926,0.54673,1.40955,1.14901,2.20945,0.000156948,0.000156948,0.000156948
185,2843.83,0.59219,0.49262,1.08188,0.85743,0.75897,0.77052,0.54227,1.41804,1.15497,2.24386,0.000148696,0.000148696,0.000148696
186,2859.41,0.60747,0.49088,1.09568,0.85484,0.76274,0.76835,0.53596,1.41553,1.16324,2.24937,0.000140445,0.000140445,0.000140445
187,2873.63,0.62757,0.5126,1.1248,0.86661,0.75093,0.77816,0.54044,1.42373,1.15132,2.24097,0.000132193,0.000132193,0.000132193
188,2888.98,0.59419,0.4911,1.09322,0.84913,0.76368,0.77942,0.53628,1.4207,1.15862,2.25552,0.000123941,0.000123941,0.000123941
189,2904.94,0.60633,0.49238,1.11032,0.8285,0.7595,0.77337,0.53366,1.42121,1.18507,2.26017,0.00011569,0.00011569,0.00011569
190,2919.75,0.60503,0.49612,1.10441,0.81238,0.76661,0.7805,0.53825,1.43541,1.19779,2.26483,0.000107438,0.000107438,0.000107438
191,2937.05,0.50514,0.40369,1.07497,0.8357,0.7503,0.75214,0.51821,1.4452,1.18087,2.28438,9.91865e-05,9.91865e-05,9.91865e-05
192,2951.26,0.48414,0.34503,1.05819,0.85034,0.75691,0.76117,0.52366,1.42131,1.15525,2.25405,9.09349e-05,9.09349e-05,9.09349e-05
193,2965.37,0.49151,0.35304,1.07687,0.83075,0.76351,0.7689,0.53048,1.4067,1.13858,2.24237,8.26832e-05,8.26832e-05,8.26832e-05
194,2979.55,0.47542,0.33498,1.04312,0.8385,0.76138,0.77114,0.53172,1.42665,1.14818,2.26937,7.44316e-05,7.44316e-05,7.44316e-05
195,2993.36,0.47304,0.33916,1.04354,0.83268,0.76138,0.77194,0.53251,1.43373,1.13389,2.28259,6.61799e-05,6.61799e-05,6.61799e-05
196,3007.83,0.46258,0.3236,1.03809,0.85662,0.73906,0.76839,0.5365,1.4083,1.15017,2.24451,5.79283e-05,5.79283e-05,5.79283e-05
197,3021.75,0.45544,0.31518,1.03506,0.84025,0.76453,0.76868,0.53766,1.40532,1.13808,2.24474,4.96766e-05,4.96766e-05,4.96766e-05
198,3036.5,0.46566,0.31422,1.03848,0.8487,0.77562,0.77216,0.53849,1.40071,1.12947,2.24309,4.1425e-05,4.1425e-05,4.1425e-05
199,3050.66,0.45811,0.32934,1.03592,0.82323,0.76711,0.76768,0.54214,1.40889,1.13219,2.26055,3.31733e-05,3.31733e-05,3.31733e-05
200,3064.59,0.47238,0.33148,1.04296,0.82525,0.77368,0.76654,0.53846,1.40228,1.13699,2.26066,2.49217e-05,2.49217e-05,2.49217e-05
