epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,715.685,1.05548,1.04748,1.42194,0.72303,0.64948,0.72175,0.47663,1.42966,1.41938,2.03493,0.00132868,0.00132868,0.00132868
43,730.734,1.04437,1.04038,1.40045,0.74874,0.7006,0.74665,0.50116,1.36075,1.38808,1.96997,0.00132043,0.00132043,0.00132043
44,745.262,1.05168,1.10898,1.43655,0.72634,0.67643,0.70936,0.44765,1.52642,1.63294,2.13573,0.00131218,0.00131218,0.00131218
45,760.171,1.06307,1.10503,1.442,0.75005,0.64862,0.69046,0.46399,1.47409,1.45107,2.08562,0.00130393,0.00130393,0.00130393
46,775.215,1.0461,1.02391,1.41484,0.74063,0.67468,0.7213,0.4781,1.48171,1.63325,2.10188,0.00129568,0.00129568,0.00129568
47,789.899,1.04027,1.00194,1.39984,0.80349,0.62488,0.7134,0.44419,1.51804,1.50209,2.13181,0.00128742,0.00128742,0.00128742
48,805.311,1.0418,1.02461,1.40454,0.8296,0.60295,0.7364,0.49148,1.45483,1.48559,2.0568,0.00127917,0.00127917,0.00127917
49,820.461,1.05221,1.00988,1.4091,0.77882,0.65049,0.72704,0.45742,1.4567,1.38641,2.07699,0.00127092,0.00127092,0.00127092
50,835.072,1.02218,1.0002,1.38657,0.82965,0.66844,0.74821,0.49591,1.43392,1.35761,2.00204,0.00126267,0.00126267,0.00126267
51,849.862,1.0201,0.9734,1.38797,0.79367,0.63249,0.7353,0.47637,1.46917,1.4951,2.0537,0.00125442,0.00125442,0.00125442
52,865.021,1.01899,0.9737,1.37988,0.72667,0.70263,0.7462,0.4976,1.40396,1.34668,2.02188,0.00124617,0.00124617,0.00124617
53,879.838,0.95411,0.92825,1.33124,0.81721,0.61635,0.74086,0.51393,1.38084,1.34767,2.00672,0.00123791,0.00123791,0.00123791
54,895.115,1.02231,0.97773,1.38578,0.87287,0.63419,0.74424,0.49006,1.49062,1.34169,2.10098,0.00122966,0.00122966,0.00122966
55,909.992,0.98454,0.93856,1.35167,0.77546,0.66129,0.73013,0.49924,1.43763,1.35885,2.06145,0.00122141,0.00122141,0.00122141
56,924.692,1.02207,0.9802,1.37091,0.79504,0.67839,0.74043,0.49484,1.52889,1.3541,2.18291,0.00121316,0.00121316,0.00121316
57,939.182,0.99659,0.9383,1.36776,0.76361,0.69986,0.75982,0.50588,1.4373,1.38888,2.03653,0.00120491,0.00120491,0.00120491
58,953.915,0.99274,0.93492,1.3737,0.79038,0.67267,0.71767,0.45779,1.54147,1.51066,2.13889,0.00119666,0.00119666,0.00119666
59,968.504,0.9511,0.90627,1.33374,0.78171,0.65049,0.71832,0.45953,1.55323,1.40008,2.11764,0.0011884,0.0011884,0.0011884
60,983.297,0.9791,0.98039,1.37411,0.82933,0.69168,0.75877,0.51888,1.39993,1.30673,2.00758,0.00118015,0.00118015,0.00118015
